epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.906,1.3786,2.9453,1.35598,0.51892,0.31684,0.41078,0.2649,1.49789,4.43952,1.63835,0.000474556,0.000474556,0.000474556
2,497.848,1.37905,2.12253,1.37535,0.53003,0.5302,0.58802,0.40065,1.30451,2.75649,1.4012,0.000933773,0.000933773,0.000933773
3,747.278,1.38488,1.89679,1.37507,0.61418,0.62764,0.63358,0.44005,1.30975,1.79099,1.36963,0.00137584,0.00137584,0.00137584
4,996.496,1.35929,1.6908,1.36064,0.69612,0.69029,0.72936,0.5159,1.25356,1.51506,1.32759,0.00135183,0.00135183,0.00135183
5,1260.51,1.33276,1.5648,1.34047,0.6982,0.71073,0.7502,0.54529,1.258,1.47268,1.3528,0.00132611,0.00132611,0.00132611
6,1551.12,1.295,1.52347,1.31951,0.80133,0.69029,0.75931,0.56683,1.19577,1.43016,1.31952,0.00130039,0.00130039,0.00130039
7,1853.25,1.29257,1.43946,1.31672,0.77081,0.70187,0.76964,0.58147,1.16569,1.33956,1.27107,0.00127467,0.00127467,0.00127467
8,2150.04,1.26438,1.41218,1.29656,0.80094,0.73199,0.80503,0.59073,1.22153,1.35227,1.31586,0.00124895,0.00124895,0.00124895
9,2487.36,1.24826,1.32314,1.2909,0.80481,0.73615,0.81614,0.59587,1.13899,1.25729,1.28836,0.00122322,0.00122322,0.00122322
10,2776.56,1.20623,1.3136,1.26498,0.82243,0.78481,0.84003,0.62843,1.17289,1.07851,1.29657,0.0011975,0.0011975,0.0011975
11,3104.52,1.15985,1.2043,1.24675,0.8505,0.79154,0.85301,0.63339,1.11988,1.05865,1.26129,0.00117178,0.00117178,0.00117178
12,3366.53,1.17542,1.21011,1.24501,0.79068,0.81134,0.82975,0.61888,1.15526,1.12215,1.3022,0.00114606,0.00114606,0.00114606
13,3625.72,1.19089,1.16636,1.2613,0.83385,0.80041,0.85456,0.64727,1.08486,1.06479,1.25612,0.00112034,0.00112034,0.00112034
14,3925.38,1.14147,1.12943,1.22515,0.85515,0.80278,0.85016,0.64631,1.0836,1.0045,1.23968,0.00109461,0.00109461,0.00109461
15,4212.27,1.13323,1.07972,1.22355,0.88904,0.80814,0.87723,0.66276,1.06984,0.95953,1.21279,0.00106889,0.00106889,0.00106889
16,4486.69,1.10021,1.09673,1.20809,0.87086,0.80274,0.86832,0.66437,1.05643,0.97263,1.22065,0.00104317,0.00104317,0.00104317
17,4719.31,1.10005,1.04641,1.21196,0.86091,0.78901,0.85534,0.64561,1.08621,0.97702,1.26041,0.00101745,0.00101745,0.00101745
18,4965.73,1.08756,1.03868,1.19411,0.85157,0.81568,0.86274,0.65815,1.10714,0.9688,1.25128,0.000991726,0.000991726,0.000991726
19,5246.21,1.10215,1.02853,1.20154,0.88152,0.82249,0.87142,0.68239,1.04162,0.90484,1.20832,0.000966004,0.000966004,0.000966004
20,5518.36,1.08841,1.00262,1.19155,0.8712,0.82344,0.87325,0.65379,1.10343,0.9374,1.23639,0.000940282,0.000940282,0.000940282
21,5789.18,1.06901,0.98676,1.1684,0.82123,0.81997,0.85241,0.65445,1.08048,0.95521,1.23986,0.00091456,0.00091456,0.00091456
22,6033.82,1.08462,0.98894,1.196,0.90257,0.81716,0.88012,0.67192,1.05795,0.89076,1.21312,0.000888838,0.000888838,0.000888838
23,6293.77,1.06624,0.96912,1.18177,0.87662,0.82612,0.88264,0.68336,1.0542,0.85078,1.22574,0.000863116,0.000863116,0.000863116
24,6500.17,1.06086,0.92654,1.1779,0.8655,0.83256,0.88308,0.6856,1.03584,0.86697,1.21749,0.000837394,0.000837394,0.000837394
25,6718.31,1.04714,0.94353,1.17204,0.8536,0.849,0.88944,0.69575,1.04211,0.84791,1.2247,0.000811672,0.000811672,0.000811672
26,6942.06,1.05146,0.89701,1.16567,0.8717,0.85128,0.90113,0.6972,1.05351,0.81318,1.22037,0.00078595,0.00078595,0.00078595
27,7160.96,1.02839,0.899,1.14884,0.84384,0.88142,0.89997,0.70441,1.01142,0.81216,1.20303,0.000760228,0.000760228,0.000760228
28,7410.16,0.98477,0.88441,1.13149,0.90054,0.84105,0.89894,0.70338,1.03113,0.80299,1.22311,0.000734506,0.000734506,0.000734506
29,7622.77,1.01056,0.83846,1.14662,0.88769,0.84258,0.90159,0.69705,1.04199,0.78367,1.21111,0.000708784,0.000708784,0.000708784
30,7824.75,0.99381,0.84328,1.14264,0.89775,0.8422,0.90159,0.7058,1.02292,0.77141,1.21597,0.000683062,0.000683062,0.000683062
31,8026.94,0.99301,0.85002,1.14269,0.89778,0.83493,0.90282,0.70841,1.01739,0.76907,1.19743,0.00065734,0.00065734,0.00065734
